RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8	gene_symbol
12	8	0	0	0	Guca2b
28	20	20	19	2	Slc16a8
858	879	1227	630	413	Chpf
1444	1671	2320	1252	730	Foxj3
6232	5654	9367	4972	3122	Mycbp2
58	41	70	21	40	Sox10
1	0	0	0	0	Asic4
2300	2164	3519	1806	1162	Ogfod1
1585	1555	2174	1288	804	Trim33
984	1060	1231	725	571	Nfatc1
2398	1923	3696	1956	1026	Polr2f
1335	1121	1980	984	556	Gmppa
185	236	778	93	13	Cdo1
0	0	0	0.87	0	Klra9
2	0	0	0	0	Klrc3
101	95	190	128	60	1700088E04Rik
81	81	114	73	41	Cip2a
5885	5229	8677	4857	2595	Afap1l1
295	310	400	241	140	Calhm2
290.54	256.81	491.96	337.44	106.38	Gm7879
3166	2804	4591	2379	1415	Micall1
8617	6844	13313	6756	3618	Dhrs7c
4234	3677	6652	3198	2121	Eif3l
817	837	1375	631	435	Npat
243	235	394	233	125	Ankrd54
49512.37	51267.8	76593	41412	26057.75	Pygb
23180	27668	37104	20996	13129	Lmo7
0	1	0	1	0	Resp18
0	0	1	0	0	Cntnap3
50802	46110	82035	43060	25745	Pfkm
694	488	849	367	239	Gas7
1154	914	1540	823	491	Entpd6
881	822	1157	720	367	Senp1
676	1058	1034	468	236	Clec1a
7820	7900	11345	6857	5196	Tbc1d4
1131	1134	1324	868	511	Triobp
1999	1951	3002	1585	841	Apmap
512	365	688	406	158	Nol12
3354	2017	4833	2185	1635	Cdc14b
213	119	349	96	73	Lss
353	252	355	232	119	Slc7a6os
152	188	275	140	86	Rnf125
709.87	657.01	1146.46	595.22	333	3830406C13Rik
83	53	151	74	20	Slc35d2
0	1	0	0	0	Hsd17b3
4708.69	4951.66	7125.4	3777.79	2323.72	Atg9a
396	357	714	274	200	Ybey
1903	1741	2433	1573	852	Gga1
140	58	137	71	62	Slc22a15
1388	1627	1990	1113	666	Phldb2
424	349	544	312	160	Podxl2
958	668	1423	843	477	Abhd10
1176	1200	1617	914	499	Cnppd1
54463	54943	80091	47303	28970	Atp1a1
828	717	1172	636	410	Dis3
543	423	576	323	108	Card10
7638	7812	10204	4492	2940	Mgll
1324	1106	1990	1159	743	Kbtbd12
3281	3278	6095.98	3231.55	1910.05	Tmed7
1789	1654	3193	1710	1112	Mzt1
3964	3684	5318	2745	1586	Tie1
48	35	85	43	22	Lpcat2
18.86	23.27	8	5	0	Myh2
2	1	3	1	1	Tpsg1
470	484	637	314	114	Mamdc2
99	86	167	54	64	S100b
2169	2359	2868	1631	1117	Ttc28
0	2	0	0	7	AA467197
9	5	11	2	5	Slitrk5
336	283	478	274	141	Eefsec
0	1.81	0	0	0	Gm9758
320	227	344	327	170	Rac2
188	174	226	167	76	Ttf2
5	15	19	0	3	Wnt6
4591	4610	6889	3831	2338	Scaf11
188	174	260	152	110	Trim45
2064	2434	2942	1535	1013	Arid2
150	69	149	59	35	Hsf4
1371	1332	1847	1089	652	Szt2
72	66	66	86	25	Shf
947	792	1387	690	442	Ttll4
169.82	81	112	16.08	27	Duox1
2032	1819	3120	1732	898	Slc35a4
20	22	46	14	6	Stk36
8938.35	9314	14413	7630	5166	Ptprm
201	242	402	202	89	Rpgrip1l
861	908	1389	765	460	Wdr3
578	531	706	373	183	Kctd17
433	402	548	306	235	Noc4l
802	935	1016	562	296	Ptprf
5037	6010	7107	3951	2910	Lpp
2968.95	2609	4252.89	2346.63	1310	Mif
685	702	972	570	284	Dpyd
104	69	148	65	65	Fbxl8
2	2	5	11	0	Galnt9
351	318	321	215	77	Gstt2
1612	1862	2437	1382	766	Fem1c
675	645	885	528	253	Ctdp1
2365	2095	3633	1881	1321	Kdm4a
14340	14930	15222	8911	3910	Tnxb
3853	3393	5146	2892	1657	Dnm2
13	0	2	1	0	Plppr5
140	107	162	106	78	Chst2
3126	3013	5081	2745	1793	Map2k4
317	296.28	459	353.67	390.27	Rtp4
170	141	134	108	64	Pus7l
492	647	750	355	190	Prrg3
797	775	1355	792	494	Usp37
3052	2947	4626	2862	1593	Ipo13
0	1	0	0	0	Trim69
612.95	589	802	404	220	Fntb
2561	1722	3358	1465	1078	Palmd
3685	3193	4961	2689	1510	Atp6v0b
3034	3017	4749	2687	1560	Trappc8
2	0	11	2	6	Rtp1
125	110	211	96	28	Frrs1
1763	1607	2499	1439	792	Arhgap44
6617	6102	9950	5162	3260	Clasp2
1208.45	1192.6	1803.3	1033.61	715.9	Spg11
19633	18463	29468	15370	9058	Agl
550	557	963.54	546.27	340.26	Nudt15
2	0	0	0	0	Syce1l
924	791	1370	801	578	Ctdspl2
2530	2194	4082	1970	1047	Gucd1
1376	1295	2049	1135	676	Cacul1
263	327	371	297	195	Snap91
1292	1416	1502	773	426	Antxr1
2572	2216	3701	2048	1206	Eri3
69	56	83	27	21	Upb1
3715	3198	6457	3164	1875	Mcee
873	791	1326	807	367	Terf2ip
389	281	431	265	177	Gtpbp6
505	513	719	432	235	Armcx2
162	129	339	116	96	Trmt13
3831	3595	5901	3357	2039	Specc1l
385	254	598	298	233	Lpar6
149.04	165.75	195.86	192.7	51.61	Tagap
659	1034	736	358	264	Adamts15
970	904	1539	775	387	Zbtb1
419	389	835	435	372	Fan1
272	169	281	184	63	Armcx1
75	80	84	69	29	Crlf2
6	8	5	1	2	Cysltr2
1552.99	1192.22	2262.89	1224.33	545.68	Tomm6
1053	1012	1569	807	537	Fhip2a
146	103	248	71	53	Catsper2
1535	1625	2387	1248	852	Fndc3a
55	31	71	47	21	Cryzl2
5	17	17	3	10	Prss35
5476	5732	9052	4858	3382	Larp4b
150	129	225	169	68	Cdc14a
5	7	1	10	4	Asprv1
0	6	9	11	1	Otud7a
5260	3783	7297	3142	2444	Ppip5k1
2414	2538	3514	1937	1169	Ttc7b
14	4	8	0	0	Acsm1
136	93	177	95	41	Casp4
1122	987	1524	847	429	Idua
1790	1555	2542	1336	731	Arhgef5
1319	1240	2124	1216	615	Gtf2a2
138	87	107	95	34	Angptl1
1651	1440	2307	1188	749	Znrf1
364	297	424	319	196	Dph5
3602	2984	5347	2641	1818	Fam20b
6180	4596	9389	4673	3071	Rbfox2
1	0	4	3	0	Adgrb3
3	26	79	0	0	Apol6
1291	1134	1872	1021	569	Myo6
290	211	372	167	62	Tmem35a
9	11	5	16	0	Fa2h
278	112	334	135	98	Igf2bp2
663	605	731	554	199	Ndn
131	97	186	71	46	Reep4
184	142	258	118	59	Myo5c
254	318	311	120	76	Spata2l
154	122	215	106	52	Lgi3
2261.57	2046.63	3972.7	2348.85	1333.96	Rfwd3
10	10	14	9	7	Caskin1
3859	4202	5261	3403	1774	Pank1
5	3	6	0	0	Cplx1
161.19	121.92	220.1	102.77	45	Map3k13
1976	1871	3047	1717	1109	Pcgf3
6453	6535	10120	5084	2995	Pdpr
1170	1108	1710	971	499	Pik3c3
1169	1223	1850	1045	499	Hacd3
648	543	877	525	288	AW554918
57	25	59	25	26	Clec18a
3	17	18	3	0	Nat8f2
16	14	25	13	8	Piwil2
1980	1851	3101	1599	1080	Vps8
900.91	890.12	1584.27	861.72	431.42	Ddx19b
69	58	154.01	77	22	Zfp7
4356	4694	7064	3584	2518	Cep350
3	2	5	1	0	Gabrb3
2009	1990	2620	1550	920	Qsox1
3070	2545	2683	4402	691	Ucp2
12	16	12	12	0	Inhca
299	365	484	336	148	Arhgap39
956	751	1377	715	401	Acbd6
349	261	454	218	114	Fcsk
1211	1194	1456	704	516	Stard9
765	630	1143	580	479	Smyd5
50	41	67	56	25	Lrrc24
1654	1423	2289	1194	629	Ccar2
7626	6409	10537	5004	3372	Foxn3
720	539	1006	589	242	Akr1c14
0	3	0	0	0	Adra2a
178	153	267	129	124	Sfxn5
518	603	886	457	203	Vav3
1811	1607	2826	1315	810	BC034090
0	1	1	0	0	Emx1
490	406	715	337	225	Lrrc14
26	8	40	33	13	Egr3
3930	3397	5671	3339	2084	Sf3b3
2385	1716	3044	1981	1124	Spr
2	1	1	1	0	Fndc3c1
181	179	212	148	30	Fkbpl
0	0	2	0	0	St18
1341	1013	1778	1120	659	Gadd45gip1
48	36	53	48	41	Mnd1
453.07	340.69	580.58	336.49	167.1	Rbm4b
28	12	46	7	9	Recql4
1762	1739	1786	1157	740	Mtss2
1916	1424	2509	1362	676	Tmem131l
136	135	149	90	40	Nrxn2
1841	2078	2699	1358	829	Exoc6b
2	0	0	0	0	Clcnka
505	449	757	430	180	Rpap2
191	150	295	99	87	Tlr13
680	608	1146	599	283	Asb13
8365	8310	11917	7050	3835	Dysf
868	874	1369	645	365	Tubgcp5
697	791	1152	597	422	Atp7a
1171	1054	1927	967	627	Atp6v1h
2213	2066	3323	1902	1087	Tasor2
8	7	3	6	0	Ephx4
1273	1152	2033	1075	571	Tmem87a
509	361	634	262	195	Alg3
2403.6	2396.92	3758.42	2121.18	1242.99	Tcea1
990	779	1339	754	454	Ppp1r16a
207	82	293	77	62	Tpsb2
361	373	421	353	139	Dnah8
10	40	56	10	0	Fgb
2	4	2	0	0	Foxh1
6447	4776	10073	5125	3010	Mrpl15
4	1	0	4	0	Pla2g4c
864	863	1568	878	738	B3galt2
35.93	44.1	94.14	29.1	18.8	Gm28042
0	3	0	0	0	Kcnk10
583	715	682	360	215	Ston1
224	203	293	132	66	Engase
18	28	51	7	0	Fgg
663	541	997.98	509	261	Cdk10
4774	10280	7879	4179	2815	Klf9
2521	2562	3037	1770	890	Ppargc1b
1556	1560	2068	1272	1794	Lgals3bp
31	42	49	17	21	Rbm46
621	566	1011	542	309	Zfp267
1594	1527	2413	1226	750	Pxk
6.31	2.06	5.14	0	0	Cfhr2
198	209	355	174	121	Map9
968	785	1137	720	394	Mapkbp1
197	166	220	92	80	Ccp110
58	56	63	65	26	Zdhhc15
926	916	1238	706	437	Usp36
2619	2158	3782	2229	1214	Gucy1a1
5303	4361	8464	4463	2517	Chmp2a
1167	966	1697	1024	632	Gde1
2357	2020	3742	1858	1094	Parl
334	230	514	203	116	Rbm34
451	397	813	414	230	Vhl
22220	16303	31598	15782	7980	Ndufb7
2924	2313	4686	2358	1190	Brk1
4078	5286	7034	3908	2659	Mga
128	108	222	128	96	Zswim5
33	54	82	40	18	Trim36
94	52	50	53	121	Aspm
3298	3457	5415	3016	1688	Ppp3r1
2760	2609	3753	2072	1024	Tnks1bp1
5988	7442	8322	4607	2448	Jcad
224	220	301	139	150	Zfp446
2023	2252	3131	1810	1145	Zbtb41
692	860	914	662	352	Slc16a2
6	6	0	4	0	Cdkl4
3	2	3	0	0	Rnf225
220	137	415	222	107	Rfc3
223.64	249.42	378.3	237.47	126	Zfp944
0	0	7	2	7	Gria2
229	171	348	208	89	Coil
129	98	178	99	94	Tesk2
9	6	11	20	9	Dnah17
1566	1348	2469	1205	753	Ttc37
4	11	5	24	0	Kcnk1
0	0	1	0	0	Neu4
889	624	1046	544	302	Slc66a2
2124	1976	3232	1791	1073	Scaper
870	812	1359	724	409	Rxfp1
2505	2592	3598	2134	1083	Pds5b
2566	2507	3489	1844	1144	Cpsf1
26	16	25	31	7	Fancd2
6080	5381	9508	5195	3175	Cct2
77	38	57	211	17	Cd226
1111	1085	1650	856	524	Rpap1
39	28	50	16	21	Ccdc17
2090	1871	3040	1597	934	Fgd5
283	327	338	248	146	Galnt17
128	47	142	95	38	Lyl1
4327.89	4174.94	6592.96	3867.97	2055	Gpbp1l1
3493	3455	5235	2497	1501	Phka1
64	99	94	70	29	Myrfl
17	23	26	11	0	Ypel4
14	12	12	5	2	4930590J08Rik
713	743	1009	580	325	Poglut1
1383	1349	2089	1181	686	Farp2
133	131	202	147	55	Zfp551
5939	5899	8996	5039	3067	Zdhhc5
488	365	776	420	233	Ccdc174
39792	36922	62805	32256	21304	Hdlbp
0	4	0	0	1	Fstl5
5428	6169	7691	4677	2478	Ctnnd1
990	1018	1621	808	497	Meak7
833	744	1302	687	390	Ccs
1972	1911	2603	1499	826	Golim4
196	157	310	174	124	Kctd7
910	966	1518	720	479	Tmed8
3	0	0	0	0	Atp2c2
141	136	194	181	93	Vav1
0	6	0	6	3	Ptgdr2
1011	799	1143	735	379	Tpst1
2610	1804	3101	1701	1223	Srsf2
142	114	213	119	32	Mks1
1095	1126	1700	877	706	Pomt2
161	102	334	88	80	Tspan8
3635	3714	5742	3225	1973	Sik3
3	4	8	6	0	Tmem63c
5344	4802	8560	4574	2998	Exoc3
1115	1135	1644	982	515	Ino80
0	8	3	0	2	Tspoap1
1902	2695	3073	1516	1019	Cipc
6818.94	9224.5	10324.7	5668.44	3528.78	Lrrc58
4880	5301	7470	4062	2196	Ogt
221	111	290	113	100	Scx
1270	1159	1722	866	617	Zfc3h1
75	58	62	54	20	Emid1
2076	1954	2536	1526	848	Ccnd3
1179	1062	1831	1020	793	Irf2bpl
22	25	13	25	13	Faah
101.52	86.36	118.86	77.09	60.88	Chchd2l
910	724	1481	645	478	Rhbdd3
2	6	0	6	6	Rnf43
1268	1177	2075	1039	664	Nsf
1212	1081	1601	912	471	Hsdl1
2711	2160	3694	1948	1246	Chmp7
1324	1116	2577	1425	769	Lsm3
819	585	1021	491	335	R3hcc1
587	437	592	447	191	Gas2l1
1668	1341	2653	1411	732	Chchd4
1718	1938	1839	871	563	Loxl2
470	539	1058	831	628	Polq
60	62	68	29	0	Rasl10a
2460	2594	3509	2153	1201	Efcab14
2420	2037	4098	2014	1089	Mrps17
11	3	18	3	2	Ankmy1
825	781	1094	625	379	Vps18
1931	1884	3114	1480	999	Atm
0	0	2	0	0	Septin14
32122	26036	40833	19516	13272	Gpc1
0	0	1	0	5	Rhov
0	0	0	0	1	Foxj1
1664	1754	1836	913	575	Usp54
5976.25	6067.92	10087	5396.95	3479	Golgb1
1714	1477	2380	1257	736	Hdac11
1012	1130	1216	728	473	Plekhm1
2518	1032	2019	3371	671	Slc25a37
3348	3002	5420	2763	1788	Senp6
2754	2373	3922	2125	1162	Agpat1
524	831	780	332	194	Arhgap27
327	399	503	289	76	Flvcr2
850	583	965	656	388	Exosc4
1171	1009	1623	1015	638	Ints14
355	338	477	244	131	Zdhhc14
39	32	53	60	7	Batf
2843	3064	4024	2100	1323	Setd5
235	372	277	158	81	Jdp2
1132	916	1549	856	482	Thoc5
600	509	784	357	259	Igsf9b
279.04	251	482.94	262.01	100	Dnajc17
21	25	25	11	10	Evpl
39	64	114	51	52	Nipsnap1
10621	9769	15741	8396	4929	Nek9
359	310	474	234	147	Traf3ip1
20497	19552	35551	20783	11834	Fhod3
5145	6212	8738	4640	3233	Med13
1010	974	1443	842	593	Fam53c
134	170	201	124	74	Ccdc15
227	173	312	188	81	Sdr42e1
0	0	1	0	0	Tmem132d
114	62	98	48	41	Kif4
8678	7607	10741	6066	4262	Iqsec1
47	39	54	42	41	Trim59
1124	1109	1808	898	484	Slc26a2
337	235	436	221	169	Exosc1
8	3	8	3	3	Tmem132c
3329	3555	5216	2745	1778	Kctd9
77	50	90	16	32	Brip1
448	551	752	500	220	Plcg2
815	707	1190	616	465	Zbed4
83	64	82	57	58	Fam151b
0	2	4	0	0	Ina
4673	4020	7010	3469	2010	Wbp2
2020	2733	3237	1697.73	1202	Cbl
2081	1747	3560	1655	1009	Ube2f
2014	1748	3168	1699	880	Gtf2h5
1079	950	1399	944	652	Smc4
196	105	217	264	67	Ramp1
4693	4619	6823	3944	2486	Mtmr3
229	211	280	132	57	Cpne2
310	242	416	255	74	Tkfc
6876.35	6609.27	9388.89	5185.71	3286	Tulp4
347	261	593	224	106	Wdr5b
22	18	29	11	5	AI661453
99	50	121	54	20	Ssu2
452	538	493	376	180	Cmip
18	10	11	7	1	Lif
330	287	394	212	105	Spata6
0	2	0	0	0	Kcnh5
1586	1328	2577	1270	583	Pja1
301	395	345	281	79	Tbc1d10a
162	184	307	201	133	Neurl1b
0	0	8	1	0	Pkd1l2
2117	2014	2979	1847	1987	Parp14
2955	2383	4798	2497	1417	Gcsh
5	3	2	0	5	Myo15b
160	120	216	130	50	Zfp707
1023	1034	1403	780	428	Zxdc
4062	3534	6391	3510	2048	Cops8
5	6	18	4	7	Tmem30b
19.02	19.19	5.04	31.01	2.01	Gbp8
1512	1635	2256	1335	820	Trmt5
870	727	1135	759	424	Cyb561a3
2135	1977	3333	1811	998	Dhrs11
4	10	10	0	0	Gulo
10	4	9	8	0	Slc24a1
1267	1244	1896	1023	686	Polr3b
2	21	10	0	0	Uroc1
253	205	311	216	93	Eda2r
214.78	121.24	205.22	187.33	251	Ifit1
493	820	648	402	332	Six4
1385	1540	2235	1101	656	Pkd2
211	188	201	123	64	Scara3
0	3	0	0	0	Dynlrb2
2876	2713	3431	2128	1124	Caskin2
255	264	409	206	86	Rasd2
746	566	1114	570	271	Sec22a
1290	1457	1967	1031	692	Diaph2
2453.96	1869.95	3343.89	1830.95	907.99	Snx2
3856	2968	5608	3009	1644	Uaca
5	0	21	2	11	Gbx2
1065	902	1707	819	532	Poglut3
21	19	36	3	18	Edil3
407	371	560	363	151	Pcnx4
500	598	937	461	319	Mad2l1bp
808	650	1164	600	328	Hmgxb4
971	896	1279	676	371	Gjc1
614	532	604	452	291	Zfp395
4134	3218	6387	3403	2305	Ice1
0	3	5	0	0	Hsd17b13
43	17	80	71	24	Fbxo16
84.02	109	98	269	23.01	Scn10a
147	138	199	140	98	Zfp418
1597	1564	2427	1257	792	Morc2a
750	628	961	555	316	Rsrc1
22	17	58	20	5	Hdx
3111	2848	4913	2576	1420	Zfyve9
1627	1618	2513	1574	799	Washc4
4843	4641	6964	3896	2270	Ccpg1
73127.49	58331.27	123134.84	62700.46	34148.76	Atp5h
802	607	992	423	423	Inpp5j
452	392	554	257	172	Ptpn13
7359	6356	11585	5845	4187	Daam1
831	828	1330	707	396	Tent4a
8	5	8	7	0	Pla2g3
18	18	64	1	10	Exph5
203	118	220	134	49	Hid1
92	95	176	73	41	8430429K09Rik
81	116	172	73	50	Slc41a2
1276	1049	1617	815	603	Myo5a
580	614	594	401	193	Ppp1r18
440	354	740	355	204	2700049A03Rik
2644	3138	4245	2267	1482	Mon2
2	0	6	0	0	Pof1b
2094	2027	2835	1681	1028	Tut4
220	244	424	166	74	Chst11
440	321	726	294	206	Ppm1h
1719	2523	2387	1189	648	Pik3ip1
327	274	439	207	127	Ssh3
1069	880	1599	884	627	Mtrr
1127	998	1731	888	547	Rxylt1
1477	1340	2092	1043	608	Gpatch8
7	7	20	21	4	Prss55
21	26	48	79	13	Ly6d
7073	7288	11068	5732	3435	Zyg11b
226	200	307	147	125	Setmar
861	1339	1360	717	375	Tiparp
67.01	54.92	120.56	69	45	Cd300ld
4	0	1	3	0	Zyg11a
1394.95	2137.7	2099.31	1159.47	733.68	Ankrd12
46	41	61	35	0	Lrrn1
96	88	129	86	35	Cd300a
948	710	1589	803	483	Ythdc2
225	225	268	183	95	Cacna1a
5128	4706	7854	4312	2714	Tmem109
1006.29	941.41	1277.42	758	499	Bmp2k
81	44	63	250	25	Itga2b
2111.99	1943	3386.9	1574	1064	Xpot
819.48	720.14	1181.31	644.2	410	Pbx2
236.68	180.3	339.32	186.36	132.32	Tdg
317	260	272	155	103	Dbn1
2344.41	1885.44	3241.72	1744.47	1137.53	Rnps1
4	16	7	33	3	Ppp1r1c
504	529	576	272	245	Sema3f
149	91	121	66	75	Fam171a2
1	6	4	5	1	Prr7
175	127	106	23	11	Fras1
17	15	25	0	3	Dnai2
6741	6453	9550	5285	3086	Gns
6250	6075	7244	4104	2350	Grn
566	571	870	427	271	Ppp1r21
314	282	425	142	188	Ttyh2
4997	4932	7408	4396	2636	Tmx4
2756	2784	4155	2259	1609	Cnot6l
868.93	910.66	1465.61	846.37	247.14	Mrps10
0	6	2	0	0	Adgrb1
1032.97	1081.24	1418	771	488	Dgkh
1	7	10	2	0	Pabpc5
282	323	444	245	173	Nostrin
4.81	4.98	0	0	0	Mfrp
1105	876	1732	837	575	Nagk
221	232	306	183	124	Sirt6
3362	3686	4844	2916	1886	Mast4
17	11	38	19	21	Pcdh11x
1164	1113	1852	918	484	Tmub2
269	213	354	213	114	Tle6
2095	1857	3364	1749	1090	Map4k5
2	3	8	6	0	Glis1
230	159	312	283	112	Dusp5
67	68	82	55	37	Asb16
218	145	219	133	84	Tle2
19	25	14	12	7	Hrob
4	0	7.32	1	0	Dsg1c
89	102	105	86	42	B3galt1
3600	3203	4686	2722	1409	Gna11
3	1	11	17	9	Cd207
0	1	5	0	0	Dio1
178.52	139.86	178.69	126.8	66	Gpsm3
1081	969	1697	1008	535	Rab24
47	19	40	52	24	Gna15
1467	1478	2244	1172	702	G6pc3
8	13	21	14	6	Ccdc122
57	76	71	44	13	Cpne7
35	41	97	75	38	Unc13a
135	89	187	105	80	Zfp661
2523	2816	3923	2135	1336	Sos2
2821	2418	3694	2100	1294	Colgalt1
3997	4455	5916	3124	1613	Scn7a
14	11	15	14	0	Grip1
2	5	16	9	0	Celf5
1414	1255	2088	1151	788	Cpsf7
0	9	11	1	9	Nrip3
687	622.98	1175	588	430	Nup54
0	7	1	2	0	Nxnl1
1235	1426	1763	941	661	Tet3
11.57	6	6	16	3	Tespa1
1	1	0	0	0	Gnat1
106	51	93	48	26	Larp6
11805	8485	17895	8193	4761	Art3
533	258	269	753	101	Plvap
777	822	1332	667	350	Ttc21b
2746	2698	3971	2168	1388	Tmem127
1520	1165	1867	702	592	Acot11
706	524	1017	515	246	Mfsd12
2	3	1	3	4	Cxcl10
1198	1241	1748	840	537	Atosa
740	720	1007	639	323	Ano8
927	835	1166	666	357	Ankrd27
2665.37	2433.27	4421.68	2290.75	1135.63	Myl12b
5	1	8	3	0	Fam151a
176	156	200	103	55	Gipc3
3765	2772	5381	2892	2061	Nudt19
1705	1056	2169	1412	911	Mrpl34
105	93	180	50	51	Tbxa2r
0	1	0	0	0	Lrr1
581	526	729	439	257	Cactin
0	0	0	4	0	Sncb
26366.93	18024.99	41120.98	21197.97	7615.99	Rps29
1277	1271	1995	1165	739	Cog3
4916	3796	7283	3370	2337	Filip1
1629	1397	2188	1274	678	Pip5k1c
4792	5897	6498	3286	2423	Cobll1
129	96	101	51	32	Ncaph
3005	2889	4205	2316	1412	Sidt2
1980	1710	3153	1391	1273	Pygo1
1993	1344	2386	1099	801	Ushbp1
33	24	34	20	8	Mdga2
10	5	3	2	9	Tjp3
2	0	0	0	0	Cdhr2
0	6	2	6	0	Ttc22
5	1	3	1	0	Ly6g6f
357	273	553	233	149	Dhcr24
1483	1532	1857	1218	647	Rnf44
391	393	513	307	107	Rtkn
1479	1374	2106	1042	807	Dhx8
2798	2274	4545	2368	1331	Mrpl54
553	501	754	352	186	Arl4d
2612	2545	3841	1985	1331	Synrg
262	238	294	240	82	Tmem106a
151	117	187	75	35	Zfr2
1477	1305	2064	1135	741	Cog7
108	114	259	100	37	Cebpa
7	4	14	4	2	Atcay
75	47	124	50	31	Rubcnl
31	16	23	7	6	Lbx2
2012	2000	3093	1407	1002	Dop1a
625	541	816	511	255	Dapk3
7992	8944	11743	7416	3993	Parm1
47	11	53	15	49	Hrh2
4	3	0	0	0	Otoa
1278	1084	1643	997	367	Vat1
72208.99	63499	104462	56037	32061	Eef2
79	94	98	65	33	Htr2a
585	703	872	548	302	Foxn2
406	320	428	315	43	Dpp4
117	98	171	115	29	Igsf6
498	522	636	452	253	Rundc1
1499	1593	1797	1241	662	Zbtb7a
0	4	6	6	4	Epgn
500	580	702	407	272	Baz1a
1360	1363	2236	1196	676	Ncapd3
3531	2939	4631	2826	1701	Map2k2
7	0	10	0	0	C8a
0	0	0	0	4	Nek11
0	0	8	0	0	Tbr1
5	8	6	0	1	Creb3l3
27	27	26	50	6	Ccl5
71	74	117	55	15	Zc3h12b
633	575	975	502	298	Kri1
4644	3508	7581	3753	1656	Anapc13
777	828	1223	660	385	Rrp12
548	463	653	381	215	Dhx57
104	90	108	107	57	Zc4h2
2038	2155	2954	1519	719	Eef2k
64	52	109	50	35	Xkr6
1956	1730	2912	1455	1055	Oma1
1086	1086	1708	857	491	Mtmr9
5	0	0	0	0	1700020L24Rik
3023	2366	4151	2502	1291	Becn1
2802	2918	4323	2253	1374	Secisbp2l
11	5	0	7	7	Fam167a
74	59	101	41	31	Eva1a
3476	4308	5941	2897	1949	Egln3
1719	1746	2317	1342	749	Dcbld2
64	66	113	45	22	Shc4
353	480	395	263	141	Wnk4
44	38	52	27	2	Neil2
128	97	205	90	37	Gcfc2
46	17	73	19	18	Dnai4
27	6	8	8	0	Brinp3
8313	9153	14272	7494	4346	Arhgap5
646	435	937	503	275	Secisbp2
790	653	1288	615	436	Nubpl
0	1	0	0	0	Gpr33
10625.03	10105.97	16763.87	9006.93	5574.59	Eif2s3x
720	767	1248	647	361	Elmod2
4206	4272	6061	3345	2206	Ap2b1
3540	3866	6651	3515	2099	Mitf
1120	1166	1693	977	617	Ints6
1014	995	1557	801	514	Zc3h12c
9	15	18	5	0	Kcne3
3415	3586	4828	2720	1505	Tanc1
585	458	836	552	313	1110059E24Rik
893	560	1213	572	368	Plekhh3
2583	2619	4142	2353	1329	Ccdc186
0	1	2	9	3	Ppp1r32
4316	3985	6750	3327	2452	Heatr5a
32	12	34	45	19	Slc24a5
272	279	342	257	95	Fam124a
0	1	0	8	7	Ubd
0	2	3	0	0	Nkx6-1
557	391	743	511	282	Ano4
1333.39	928.52	1815.97	905.46	538	Tubg1
4087	3624	6837	3657	2163	Arl6ip5
0	0	4	0	0	Chrnb4
1615	1669	2489	1306	893	Lars2
6618	4572	8009	4365	2581	Epn1
878	588	1122	590	385	Sppl2b
140.91	132	157.67	172.76	185	Slfn8
1	5	0	5	0	Xrra1
1758	1411	2526	1288	758	Leprot
1418.69	975.91	2308.95	1171.65	697.83	Lsm7
237	104	261	145	148	Rims4
2094	1650	3318	1924	959	Spcs2
8	12	8	5	1	Ccdc106
110	127	161	170	38	Pdk3
642	583	1023	479	313	Abraxas1
386	244	710	370	193	Trim13
483	493	677	280	190	Scai
18	22	33	18	0	Lcat
360	330	456	222	127	Neu3
19481.61	12934.46	25800.5	15073.2	7625.56	Oaz1
814	747	1344	590	428	Eogt
8	3	22	7	12	Pcyt1b
15379	15770	24447	12649	8382	Hectd1
3428	2890	5129	2547	1634	Tut7
573	1091	1158	609	319	Abi3bp
1	1	4	6	0	Amh
179	113	237	127	93	Helq
6861	5563	9977	5931	3120	Pkig
3	3	4	2	10	Impg2
86	62	142	85	25	Hpse
26	42	50	23	14	Tpbg
432	266	625	341	197	Raver2
470	318	652	332	274	Plekhj1
347	387	281	161	107	Ssc5d
557	295	701	444	339	Adrb1
8367	8736	12799	6275	4493	Vps13c
90	62	123	64	35	Nat14
326	242	404	225	147	G2e3
9	3	0	0	3	Wdr38
11560	8435	17985	8617	5543	Sgcg
4544	3942	7601	3965	2189	Cops4
9	4	3	2	0	Klhl35
464.72	338.78	361.41	232.23	138	Mid1
804	594	1353	511	480	Ror1
2130	2492	3401	1853	1155	Gnptab
1514	998	1613	990	580	Gdpd5
6916	6032	9256	4995	3163	Sec31a
315	221	488	315	162	Fbxo33
0	0	2	0	2	Uchl4
1962	1797	2416	1307	1071	Lzts2
336	314	514	274	181	Nup37
21	29	60	23	32	Ccl12
1303	1126	1627	854	491	Uvrag
156	143	240	95	44	Nfkbiz
1954	1378	2451	1296	705	Pdzrn3
24	15	14	15	8	Parpbp
722	656	1138	518.21	407	Rmi1
353	276	391	252	80	1810055G02Rik
56	22	59	14	22	Ccl7
329	319	541.94	300	156	Hacd2
245	171	323	201	74	Shq1
1173	935	1594	927	505	Pcsk7
97	25	134	68	58	Ccl2
28	28	45	29	4	Brsk1
1117	1046	1452	833	600	Dennd1a
0	0	10	4	2	Cfap53
217	260	319	228	151	Klf16
